,district,urban_rural,household,iron_sheet,tiles,concrete,asbestos,grass,makuti,No_Tin,mud_dung,others,county,province
251,KEIYO,Rural,28366,19596,234,11,480,7933,52,13,6,41,Elgeyo Marakwet,RIFT VALLEY
252,NANDI NORTH,Rural,31090,23938,206,6,527,6317,47,28,6,15,Nandi,RIFT VALLEY
253,NANDI CENTRAL,Rural,28306,24099,211,12,266,3604,11,24,3,76,Nandi,RIFT VALLEY
254,NANDI EAST,Rural,24916,21948,141,37,167,2556,15,12,12,28,Nandi,RIFT VALLEY
255,NANDI SOUTH,Rural,30643,24989,169,7,683,4670,43,75,3,4,Nandi,RIFT VALLEY
256,TINDERET,Rural,14488,9174,88,2,179,4961,17,13,1,53,Nandi,RIFT VALLEY
257,LAIKIPIA NORTH,Rural,6360,1449,18,1,81,2900,52,5,1591,263,Laikipia,RIFT VALLEY
258,LAIKIPIA EAST,Rural,26493,23747,143,12,404,1569,117,15,198,288,Laikipia,RIFT VALLEY
259,LAIKIPIA WEST,Rural,40969,33495,236,8,1139,4602,225,37,824,403,Laikipia,RIFT VALLEY
260,NAKURU,Rural,33651,29584,544,10,702,2454,49,9,122,177,Nakuru,RIFT VALLEY
261,NAKURU NORTH,Rural,31876,30756,233,47,358,256,34,39,56,97,Nakuru,RIFT VALLEY
262,NAIVASHA,Rural,36286,30910,371,29,767,2009,54,43,196,1907,Nakuru,RIFT VALLEY
263,MOLO,Rural,94240,70946,701,76,2955,18425,435,177,43,482,Nakuru,RIFT VALLEY
264,NAROK NORTH,Rural,42946,27355,300,10,2769,5844,1244,322,3175,1927,Narok,RIFT VALLEY
265,NAROK SOUTH,Rural,62326,27242,237,38,1155,17112,453,159,15211,719,Narok,RIFT VALLEY
266,TRANS MARA,Rural,47318,12196,153,39,688,33636,219,61,264,62,Narok,RIFT VALLEY
267,KAJIADO CENTRAL,Rural,26342,9638,183,14,438,3885,94,67,11531,492,Kajiado,RIFT VALLEY
268,LOITOKITOK,Rural,25478,12030,140,16,739,10147,302,386,1498,220,Kajiado,RIFT VALLEY
269,KERICHO,Rural,52870,40322,284,1156,542,10407,58,22,73,6,Kericho,RIFT VALLEY
270,KIPKELION,Rural,23662,18291,165,6,305,4826,23,9,6,31,Kericho,RIFT VALLEY
271,BURET,Rural,57560,50382,487,1034,971,4216,103,324,18,25,Bomet,RIFT VALLEY
272,SOTIK,Rural,33615,21780,667,20,531,10509,32,21,55,0,Bomet,RIFT VALLEY
